Gene_Proteins,EAA30,EAA13,PPS15,PPS24,PPS40,PPS47,PPS52,PPS64,PPS67,Young_Average,Young_SD,T-Test (Young to Pre-Old),T_Test_Young_to_Post,PRE_S03,PRE_S05,PRE_S10,PRE_S12,PRE_S15,PRE_S17,PRE_S24,PRE_S30,PRE_S32,PRE_S02,PRE_S04,PRE_S09,PRE_S11,PRE_S14,PRE_S16,PRE_S19,PRE_S21,PRE_S31,Old_Pre_Average,Old_Pre_SD,T_Test_Pre_to_Post),POST_S03,POST_S05,POST_S10,POST_S12,POST_S15,POST_S17,POST_S24,POST_S30,POST_S32,POST_S02,POST_S04,POST_S09,POST_S11,POST_S14,POST_S16,POST_S19,POST_S21,POST_S31,Old_Post_Average,Old_Post_SD
"F12_Isoform of P00748, Coagulation factor XII",0.619,0.8896,1.8544,3.8813,1.4258,2.772,1.4163,1.1182,2.4837,1.8289,1.0437,0.1058,0.0235,1.0241,4.9993,1.094,6.0468,3.7651,2.1021,6.7961,0.6192,0,2.4595,3.9859,1.8655,2.1066,2.7868,4.6329,5.0039,3.9568,1.0214,3.0148,1.9732,0.2562,2.3174,3.2279,3.0438,2.6358,2.7595,5.9468,7.2381,0.72,1.3473,2.002,3.8258,1.7741,3.1688,7.7976,3.1182,5.5851,5.2398,2.2738,3.5568,2.0025
F13A1_Coagulation factor XIII A chain,11.6115,12.0229,7.3995,9.4597,5.0789,11.5078,4.6467,10.9978,7.7554,8.9423,2.8473,0.0021,0.0104,8.2611,14.2992,12.7239,20.7551,22.0837,8.8544,25.7312,14.861,13.0407,11.5997,11.2054,15.1806,14.7533,13.8516,21.2838,16.3762,13.4569,9.8992,14.901,4.7783,0.2307,21.772,9.3934,18.7937,9.8587,33.9488,12.4819,14.8875,39.3932,12.8403,10.519,12.0953,14.5539,10.2706,13.7771,24.7572,30.1459,15.206,10.3623,17.5032,8.9744
F13B_Coagulation factor XIII B chain,0,0.7993,0,0,0,0.2769,0,0,0,0.1196,0.2708,0.9356,0.264,0,0.5201,0.3264,0.5945,0,0,0,0,0.4021,0,0,0,0,0,0,0,0,0.1735,0.112,0.2024,0.1513,0,0,0,0,0,0.7076,0.8901,1.9321,0,0,0.4675,0.6092,0,0,0,1.2239,0.3318,0,0.3423,0.5485
F2_Prothrombin,21.1489,19.5979,2.9573,6.397,21.8307,4.4401,23.3746,22.2027,6.0983,14.2275,8.8885,0.0231,0.0003,15.4823,30.3049,18.9461,22.7104,13.4702,16.9809,35.4373,11.1647,22.2332,20.0978,19.662,26.6987,17.9552,20.2069,29.8023,43.0043,17.7601,21.5378,22.4142,7.9895,0.0162,23.0993,19.576,23.4052,25.0623,34.6996,41.0753,41.3449,37.5164,26.1382,18.9136,17.7876,36.9896,25.6445,45.8626,28.8338,35.451,25.4224,21.1718,29.333,8.6856
F5_Coagulation factor V,1.3143,2.3584,1.6761,1.5815,3.3187,2.0142,4.3486,1.1596,1.8168,2.1765,1.0364,0.7991,0.0935,1.1263,3.4026,2.4787,5.4391,1.6896,1.8641,3.3555,1.2398,1.7947,1.9456,2.8322,2.0816,0.7925,2.1533,3.1496,2.3196,1.5253,1.9976,2.2882,1.0764,0.0868,1.9445,2.291,6.0787,1.4874,2.8716,4.4023,2.7875,2.0976,4.0279,1.6915,2.631,2.0743,1.7877,5.5253,2.3895,3.2631,3.216,4.8883,3.0808,1.3671
"F7;GN=_Coagulation factor VII;Isoform of P08709, Isoform B of Coagulation factor VII",0,0,0,0,0,0,6.9382,0,0,0.7709,2.3127,0.6901,0.3528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6473,0,0,0,1.8693,7.9307,0.6403,0,0,0,0,0,23.2906,0,0,0,0,0,4.6739,0,21.3677,0,0,7.1485,0,3.1378,7.2548
F8A3_40-kDa huntingtin-associated protein,1.2402,1.8026,1.0664,1.3664,0.4751,1.3683,0.961,2.2751,1.6395,1.355,0.5189,0.732,0.0037,1.0753,2.5931,1.7423,1.0532,1.1362,1.3316,2.5331,0.9259,1.3753,1.6895,0,1.9098,1.2201,1.1692,2.3225,1.3881,1.1001,1.3348,1.4389,0.6258,0.0035,2.2688,1.8502,2.4503,1.5926,2.5937,1.4668,2.6842,3.3344,1.009,2.1917,1.5897,2.4467,2.5828,1.3569,1.6159,2.6948,2.6431,1.7344,2.117,0.6115
F9_Coagulation factor IX,2.9416,3.7464,0,0.4743,0,1.419,3.075,10.7747,4.2639,2.9661,3.3444,0.8328,0.5033,1.6056,2.8315,2.2244,2.6905,2.2221,1.8913,4.4798,1.2364,2.2914,2.0144,2.7197,2.8569,2.3512,2.1737,4.83,6.3228,2.8382,2.435,2.7786,1.2446,0.0445,2.9682,2.2239,2.8623,3.5565,6.8917,5.3874,5.378,4.1155,2.454,1.7489,1.6063,3.9717,3.645,3.189,3.5653,5.8943,3.7344,1.5089,3.5945,1.5141
FAAH_Fatty-acid amide hydrolase 1,2.765,3.4835,3.8424,1.8263,1.7749,2.8516,3.3508,3.8504,2.4239,2.9076,0.7906,0.0009,0.0012,5.4933,3.1858,4.2376,2.4402,5.249,6.5443,13.7518,5.5049,5.1039,5.9724,6.9171,8.1169,5.1927,6.3959,7.5171,5.8413,6.9175,4.2707,6.0362,2.4037,0.9294,7.6948,0,4.9319,3.7951,5.0006,8.7394,11.322,5.1561,5.375,5.4109,4.7634,3.7973,6.5448,7.0609,6.5028,7.6883,9.7795,5.8595,6.079,2.5234
FAAP100_Fanconi anemia core complex-associated protein 100,1.1532,0.6258,0.5343,0.4793,0.5438,0.7079,0.6441,0.5226,0.5196,0.6367,0.2069,0.8381,0.6293,0.4744,0.5691,0.5454,0.5002,0.3838,0.6453,1.4837,0.5434,0.4687,0.6463,0.3876,0.8364,0.6368,0.6625,1.0303,0.8512,0.4174,0.76,0.6579,0.2695,0.6802,0.8656,0.9144,0.6027,0.6205,0.427,0.771,1.0191,0.1847,0.4573,0.6584,0.4668,0.9842,0.8778,0.2771,0.864,0.868,0.8898,0.5601,0.6838,0.2483
"FABP3_Fatty acid-binding protein, heart",4.6557,3.1011,6.5343,4.4379,0,9.2234,8.9711,4.7897,6.0913,5.3116,2.8584,0.0586,0.0056,4.5492,10.2403,9.836,9.6655,5.4372,5.5266,9.0586,4.4478,6.3563,9.5466,13.8588,12.1336,6.795,4.087,8.357,5.6456,6.1538,5.2918,7.6104,2.8331,0.0521,8.527,7.6988,11.1356,11.4346,20.3903,11.9669,14.0774,9.039,0,9.8327,9.8905,11.4916,7.2894,5.9643,6.2532,11.0466,14.8804,10.3862,10.0725,4.2364
"FABP4_Fatty acid-binding protein, adipocyte",1.3091,3.473,0,5.4863,3.6557,5.3616,3.1035,4.1353,4.2093,3.4149,1.7848,0.01,0.021,4.0164,8.4414,5.9542,7.9657,9.272,3.4472,9.6931,2.3337,3.6467,5.8755,7.2732,7.8161,8.5662,4.0926,5.9793,2.8888,4.9596,3.9555,5.8987,2.3454,0.5808,6.7204,8.7584,6.863,5.8576,13.3975,5.3098,7.2281,3.3537,2.8384,4.082,5.3409,6.0867,4.9842,4.2851,3.6375,15.9709,5.0713,5.3255,6.395,3.3799
FABP5_Fatty acid-binding protein 5,0.2009,0.6731,0.4359,0.5227,0.5652,0.3755,0,0.4882,0.2879,0.3944,0.2057,0.0084,0.0017,0.9937,1.5996,1.0669,1.2602,1.0811,0.6244,1.6606,0,0,1.3426,1.7907,1.1381,0.8655,0.5565,1.0369,0.9232,0.8275,0,0.9315,0.5393,0.1212,1.5951,1.6052,1.4877,1.4653,1.2312,1.4128,1.5005,0,0,0.8532,1.3416,1.0779,1.1553,1.1794,0.6856,1.8015,1.1535,0,1.0859,0.5678
FADD_FAS-associated death domain protein,45.3929,44.5153,21.1057,16.9855,36.6918,26.1092,33.2847,30.1791,21.7274,30.6657,10.1938,0.0317,0.2314,13.525,16.3686,20.9662,18.4088,16.9853,20.4909,28.7515,30.4543,42.0437,19.9594,22.0205,23.3287,21.0276,18.0053,23.9304,17.4507,20.8952,37.1194,22.874,7.3847,0.145,25.0437,17.6288,23.6109,18.2272,20.7551,30.6324,28.4526,56.2239,31.6501,16.1129,16.9596,25.3851,30.7889,17.6343,20.7827,26.9357,26.3704,32.1853,25.8544,9.3192
FADS2_Acyl-CoA 6-desaturase,0.8509,3.0368,0,0,0,0,0,0.8999,0,0.532,1.013,0.1468,0.999,0.584,0,0.906,0,0,0,0,0,0,0.4344,0,0,0.7761,0,0,0,0,0,0.15,0.3017,0.2399,6.1631,0.6168,0.5955,0,0,0,0,0,0,0.6881,0,0,0.5569,0,0,0.9426,0,0,0.5313,1.4412
FADS3_Fatty acid desaturase 3,0,0,0,0.834,0,0,0,0,0,0.0927,0.278,0.2121,0.0572,0,1.9521,1.1701,0,0,0,1.5928,0,0,0,0,0,0,0.2976,0.6884,0,1.1707,0,0.3818,0.6429,0.1979,1.5353,1.0593,1.0583,0.9588,0.7354,0,2.6456,0,0,1.1544,0,0,1.0612,0,0.7381,0,0,0,0.6081,0.7438
FAF1_FAS-associated factor 1,15.4024,11.6388,10.1859,9.3428,13.4329,11.8848,15.5756,13.599,9.6096,12.2969,2.3555,0.1712,0.0508,10.6081,14.1095,13.1862,14.2668,11.3285,13.0425,22.6288,11.3462,11.4842,14.1562,16.5054,16.3678,12.2205,12.092,18.2201,12.8089,12.8513,12.8766,13.8944,2.9551,0.5042,16.7996,11.957,19.2049,11.7902,15.4321,18.1543,17.4631,8.8353,12.3502,11.2687,13.3634,12.8375,15.1075,13.7391,16.2481,16.7776,14.1031,15.1795,14.4784,2.7143
FAF2_FAS-associated factor 2,6.2214,6.9296,4.1391,3.98,4.1008,5.4124,5.3302,5.1145,4.0412,5.0299,1.0612,0.0025,0.0001,6.9316,6.9201,7.5739,5.0006,6.8782,7.2537,12.4211,5.0951,5.1251,7.979,8.6204,8.6714,6.4164,7.0958,10.7857,6.9938,6.5425,5.728,7.3351,1.9069,0.0668,11.1712,8.0877,9.9612,7.6952,9.439,10.4949,9.4107,3.3429,5.7926,8.4893,7.6951,6.1232,8.2034,7.0268,10.6635,9.0579,10.2805,6.5216,8.3032,2.024
"FAH;GN=_Fumarylacetoacetase;Isoform of P16930, Isoform 2 of Fumarylacetoacetase",0,0,1.0807,0,0,0,0,0,1.2874,0.2631,0.5247,0.2692,0.1749,0,0,0,2.6341,1.5236,0,3.0392,0,0,1.9429,0,0,1.3874,0,1.8956,0,0,0,0.6902,1.0632,0.5798,0,1.3111,0,0,4.2182,1.7206,0,2.3074,0,0,0,2.213,1.3527,3.7476,0,0,0,0,0.9373,1.3881
"FAHD1_Acylpyruvase FAHD1, mitochondrial",14.9378,28.1585,12.939,13.0461,17.8883,14.0085,13.7577,35.5391,28.1648,19.8266,8.4969,0.3037,0.2071,11.3798,25.0618,48.2192,12.2921,20.5056,25.7372,28.1488,21.7645,43.7826,35.7971,25.5992,21.5075,19.1951,14.7639,45.1076,14.8974,14.1399,12.204,24.4502,11.7079,0.8815,19.4267,19.7071,40.1802,26.9042,22.0965,37.0408,25.985,25.4168,21.7158,39.7441,20.9468,25.9645,24.5977,7.252,40.5043,16.7043,23.1002,8.361,24.7582,9.6923
FAHD2A_Fumarylacetoacetate hydrolase domain-containing protein 2A,5.1569,4.3024,3.0903,6.0839,7.6537,5.7345,4.3156,8.0874,5.9567,5.5979,1.6052,0.1588,0.6601,3.4462,5.7771,5.6133,4.0441,4.2128,3.2611,6.7276,2.9898,7.1648,3.5559,6.1777,2.8595,4.2903,6.1249,6.3278,1.4713,4.2067,5.5527,4.6558,1.5812,0.3687,5.1975,5.6211,5.1786,5.7032,11.2986,4.5528,6.1805,4.747,2.9783,4.3458,4.7415,8.7373,5.559,3.733,5.091,2.4067,5.2254,3.1788,5.2487,2.0542
FAHD2B_Fumarylacetoacetate hydrolase domain-containing protein 2B,0.2536,0.3084,0,0,0.4068,0,0,0,0,0.1076,0.1661,0.0556,0.0096,0,0,0,0,0,0,0,0,0.1573,0,0,0,0,0,0,0,0,0.2115,0.0205,0.0604,0.1679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM114A1_Protein NOXP20,13.2491,9.8903,9.367,9.3622,15.67,8.5348,11.7421,10.7499,8.5705,10.7929,2.3889,0.712,0.3752,7.6513,5.7018,9.1017,8.8435,10.4033,7.5868,15.2286,10.7189,10.1672,9.5906,8.0044,14.6619,10.9544,8.1884,16.9922,11.0284,11.4616,10.5124,10.3776,2.8683,0.0377,16.9433,8.3449,9.7637,7.5478,14.8192,10.7741,16.4143,10.7925,10.8237,7.9593,8.185,14.9272,12.3565,6.5247,15.3887,19.1482,13.4932,12.0464,12.014,3.6683
FAM114A2_Protein FAM114A2,7.1119,16.4592,4.783,4.837,9.1236,5.9101,3.865,6.4641,4.6313,7.0206,3.8811,0.8028,0.9744,6.5923,5.563,5.647,4.6412,5.679,8.3476,13.3555,2.8109,3.2719,4.4859,7.1126,7.6611,5.0279,7.1367,11.1931,8.453,6.821,6.8929,6.7051,2.5882,0.5979,7.1911,6.0719,12.5896,3.9584,6.6195,7.0857,9.6166,4.949,6.3779,8.3594,3.0997,9.3428,6.8013,4.9826,7.7947,7.6494,7.1009,7.4569,7.0582,2.1809
FAM118A_Protein FAM118A,0.5873,0.9014,0.5056,0.2612,0.8456,0,0.9637,0.563,1.242,0.6522,0.3802,0.656,0.4459,0,0.9793,0.9167,0.9592,0.6873,0,0.9512,0.7259,0.8048,0.7997,0.7918,0.6234,0.6518,0.7628,1.1608,0.616,0.5398,0.858,0.7127,0.3014,0.521,0,1.1182,0.9652,0.6678,0,0.6089,1.4468,0.7717,0.471,0.4749,0.8376,1.18,0.7244,1.0565,0.5302,1.2512,1.0271,0.8233,0.7753,0.3934
FAM118B_Protein FAM118B,3.5147,1.37,3.6509,3.0916,2.7636,3.8752,1.9092,4.2974,3.625,3.1219,0.9556,0.2483,0.1199,2.8467,3.3482,4.1959,3.3545,3.7685,3.203,5.8947,2.6143,2.0272,3.5355,3.1829,4.612,3.2711,3.9792,6.4647,3.3351,4.0902,1.9638,3.6493,1.1517,0.3153,5.0142,4.7427,4.9398,2.9534,5.6134,4.7575,4.9891,1.5105,1.7688,2.9606,2.9243,4.7313,4.8898,2.9755,4.9545,5.651,3.9284,1.7529,3.9476,1.3751
"FAM120A;GN=_Constitutive coactivator of PPAR-gamma-like protein 1;Isoform of Q9NZB2, Isoform F of Constitutive coactivator of PPAR-gamma-like protein 1",11.7324,16.9828,12.9629,11.5553,7.8898,13.0405,16.0711,11.2981,10.3754,12.4343,2.7841,0.0015,0.0001,21.5743,24.2724,16.2375,15.3047,21.9166,25.1629,37.7364,13.2449,11.8632,24.1462,28.6502,27.6433,15.4593,16.2555,29.1239,21.838,15.7814,13.3752,21.0881,6.9695,0.0994,31.1027,23.0581,28.5307,21.4843,34.0114,30.0041,24.1781,5.4328,14.8893,26.5505,23.2176,17.0757,25.9235,17.4968,32.4341,32.3541,31.8285,22.3027,24.5486,7.4478
FAM120B_Constitutive coactivator of peroxisome proliferator-activated receptor gamma,5.7186,4.771,4.9215,4.1877,3.9845,3.5784,5.9614,4.5636,3.7343,4.6023,0.8352,0.0021,0.0003,6.0095,5.5184,4.6507,6.1578,6.3252,8.8117,11.5494,6.4811,4.1219,6.4558,5.8348,8.6137,6.781,8.0149,10.3264,9.4213,6.7491,4.8173,7.0356,2.0214,0.1005,9.8946,6.4139,7.3521,6.6027,12.3858,9.7091,8.1945,3.4389,5.4636,6.552,5.7918,6.1317,9.3647,6.6766,12.12,9.8272,10.8048,9.1634,8.1049,2.4413
FAM136A_Protein FAM136A,4.0345,3.1218,1.9129,2.8456,3.7434,1.1676,2.1191,4.8731,5.0899,3.212,1.3439,0.0013,0.0054,5.047,4.5932,6.624,3.985,5.6334,8.2047,4.9712,5.767,4.5614,2.2964,5.702,5.6701,5.8316,4.9261,5.1221,6.8946,5.602,2.7221,5.2308,1.3813,0.3145,3.6864,5.0515,7.2212,4.6166,7.0133,4.1312,4.4599,3.6452,4.866,4.8437,3.9014,6.7574,5.465,3.0694,6.0451,3.8426,3.7069,4.0734,4.7998,1.243
FAM162A_Protein FAM162A,50.6277,83.7355,220.4453,162.0986,43.6283,228.6615,69.5577,300.3352,231.7432,154.537,95.1615,0.004,0.0079,561.2234,569.6554,512.0593,211.4587,404.085,377.1904,573.536,110.8278,63.8707,608.7626,844.3588,553.4646,234.3098,269.0913,440.91,347.7058,257.7188,87.3376,390.4203,211.4478,0.9707,366.7736,418.2377,519.5319,928.7959,250.106,500.3574,547.1697,49.1271,63.9256,682.6108,497.1836,175.5817,363.575,244.0948,654.3369,258.6597,473.3867,72.5867,392.5578,236.042
"FAM172A;GN=_Cotranscriptional regulator FAM172A;Isoform of Q8WUF8, Isoform 3 of Cotranscriptional regulator FAM172A",1.7701,0,0,0.6424,0,0.9908,0,0.8202,0,0.4693,0.6343,0.241,0.1208,0,0,0.9712,0,0,0,0,0,0,0,0,0,0.9831,1.7159,0,0,0,0,0.2039,0.4914,0.0086,3.0068,1.2695,1.913,1.2999,1.3518,1.9142,0,0,1.3969,1.1043,0,1.0251,0,0,2.1242,2.8499,0,0,1.0698,1.0218
"FAM177A1;GN=_Protein FAM177A1;Isoform of Q8N128, Isoform 2 of Protein FAM177A1",6.8028,2.3389,2.0483,1.5198,3.0723,3.4292,3.0665,4.0495,2.9445,3.2524,1.5297,0.2777,0.1864,4.46,2.9772,3.3313,2.3449,3.8201,4.4143,5.7778,3.6682,4.0411,4.0912,2.8749,4.7238,3.6157,2.2182,5.088,5.2097,2.8356,2.8761,3.7982,1.0167,0.3614,5.8143,4.6071,2.98,2.5836,7.5201,5.4964,2.9725,1.7156,3.7521,5.3342,3.4548,4.0168,3.4986,1.1759,4.8843,6.1267,3.7724,4.5715,4.1265,1.5973
"FAM184A;GN=_Protein FAM184A;Isoform of Q8NB25, Isoform 3 of Protein FAM184A",0,13.7281,0,0,0,0,17.1967,17.2189,12.8946,6.782,8.1623,0.0073,0.1213,0,0,0,11.6312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6462,2.7415,0.2801,0,0,0,0,0,0,0,8.815,0,0,0,0,19.5972,0,0,0,0,14.9747,2.4104,5.8482
FAM185A_Protein FAM185A,2.1932,3.3575,2.1662,1.9746,1.6318,3.0775,2.9454,3.5011,2.4815,2.5921,0.6547,0.131,0.14,2.871,3.3629,3.8267,1.1723,2.9997,2.4818,3.8651,2.7174,2.9282,4.4131,3.832,4.1105,2.943,3.1623,3.5445,2.4889,2.2087,2.3627,3.0717,0.7942,0.5458,4.1898,2.9629,3.4755,4.1022,4.8621,3.5627,3.4572,2.4982,0,3.2694,3.2615,3.4338,4.9853,1.8991,3.8397,5.1705,3.0975,1.2496,3.2954,1.2949
FAM186B_Protein FAM186B,0,0,0,0,0,0,0,0,0,0,0,0.2514,#DIV/0!,0.3949,1.3038,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0.1549,0.392,0.1119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM20B_Glycosaminoglycan xylosylkinase,7.7658,0,6.4432,0,4.4964,0,6.1524,3.3405,3.481,3.5199,2.9929,0.0045,0.439,5.975,6.4463,5.7058,8.0265,5.3269,9.3145,6.3105,3.9541,2.3687,8.6049,8.0654,9.1852,4.795,6.0076,10.124,11.1048,4.3186,6.3285,6.7757,2.3152,0.0172,3.9701,5.6237,5.7347,6.0844,2.8942,6.2904,0,0,5.4648,7.5296,6.6163,3.7539,7.7642,0,13.906,2.5529,4.5784,0,4.598,3.5168
FAM210A_Protein FAM210A,13.2491,13.2834,19.0459,13.642,9.1342,16.9003,16.8945,30.3953,19.6023,16.9052,6.0349,0.0139,0.0298,15.3757,38.2747,23.9233,33.3677,22.5617,29.0175,57.698,8.6427,17.4543,27.2614,43.7348,35.7347,25.9472,21.9786,34.4866,30.9893,24.8054,12.7674,28.0012,11.7587,0.8054,24.1768,26.0389,39.8485,39.7851,6.0287,38.4132,47.0351,4.9127,15.5839,33.1187,20.9468,20.4399,33.2578,23.4455,22.751,33.062,47.953,14.2777,27.282,12.7192
"FAM210B_Protein FAM210B, mitochondrial",0.7278,1.5729,6.9856,9.1491,0,12.0502,1.0893,7.6455,15.042,6.0292,5.4711,0.017,0.0022,13.5686,43.6327,17.5477,13.9903,27.6932,14.0495,19.5461,0,0,24.9717,41.0135,19.0937,4.9658,18.2852,27.4884,16.6691,7.8913,1.0787,17.3047,12.5415,0.6315,22.9508,27.1158,34.5392,33.5521,18.4257,26.7966,24.9013,0,1.9248,20.3739,25.1256,10.524,17.8852,16.116,19.4895,17.2476,16.6961,0,18.5369,10.2032
"FAM219A;GN=;GN=;GN=;GN=;GN=_Protein FAM219A;Isoform of Q8IW50, Isoform 2 of Protein FAM219A;Isoform of Q8IW50, Isoform 3 of Protein FAM219A;Isoform of Q8IW50, Isoform 4 of Protein FAM219A;Isoform of Q8IW50, Isoform 5 of Protein FAM219A;Isoform of Q8IW50, Isoform 6 of Protein FAM219A",0,0,0.3004,0.4846,0,0.2729,0,0.4693,0.4248,0.2169,0.217,0.363,0.2406,0,0.2589,0.643,0,0.5078,0,0.83,0,0,0.3892,0.4107,0.4672,0,0.524,0.6439,0.7976,0.312,0,0.3214,0.3,0.7082,0.39,0.1844,0.3559,0.5132,0.5995,0.7079,0.5335,0,0,0.2481,0.3814,0,0,0.3136,0.9592,0.7065,0.3678,0,0.3478,0.2873
FAM234A_Protein FAM234A,0.7135,1.4247,1.0042,0.8839,1.4092,1.6892,0.8944,0.817,0.8192,1.0728,0.3442,0.1556,0.4071,0.6427,0.7427,1.1612,0.7391,1.1094,0.9109,0.6907,0.9536,1.0651,1.2707,0.9753,1.2685,1.0445,0.7283,0.9764,0.8512,0.8477,0,0.8877,0.2921,0.5607,1.5328,0.6398,1.2762,0.4956,1.0381,1.0127,1.2665,1.1393,0.449,0.8132,0.6018,1.0263,1.3906,0.6853,0.9947,1.3217,1.2613,0,0.9414,0.3982
FAM241A_Uncharacterized protein FAM241A,0.2086,0.1515,0.1014,0,0,0,0.2355,0.1271,0.182,0.1118,0.0929,0.7069,0.9157,0,0.1537,0.1687,0,0,0.3298,0.2741,0.2486,0.144,0,0,0,0,0.2218,0,0,0.1644,0,0.0947,0.1171,0.7654,0.2715,0.1284,0.1581,0,0.2247,0.1259,0,0,0.1374,0.0949,0.1394,0,0,0,0,0,0.4062,0.2379,0.1069,0.12
"FAM241B;GN=_Protein FAM241B;Isoform of Q96D05, Isoform 2 of Protein FAM241B",1.1442,0,1.5805,1.7546,0.8212,2.2217,1.2964,2.7568,0,1.2862,0.928,0.0004,0.0006,8.8907,3.4325,5.3966,1.8532,2.7219,9.2739,2.9639,1.1509,2.3222,4.4766,6.008,5.8748,4.2043,5.4526,5.9231,5.6171,3.5632,2.361,4.527,2.254,0.215,4.1505,3.9914,4.8008,3.8496,4.9708,6.6082,1.824,0.3554,2.2934,5.3749,4.9104,2.6247,5.8924,3.6013,7.7464,1.6396,3.2818,2.3055,3.9012,1.887
"FAM3A;GN=;GN=_Protein FAM3A;Isoform of P98173, Isoform 2 of Protein FAM3A;Isoform of P98173, Isoform 3 of Protein FAM3A",0.8568,0,0.8063,0,0,0,0,0.9665,0.8424,0.3858,0.4594,0.0025,0.0213,3.2933,3.4223,1.7548,0,1.2161,4.3738,3.1086,0,0,2.9211,2.2737,5.3063,1.7131,2.6363,3.9815,5.1394,1.584,0,2.3736,1.7324,0.1927,1.1145,1.9903,3.2189,2.7247,0,1.8424,0,0,1.247,3.3688,2.5346,0,1.2779,2.2896,6.1108,1.6697,1.4165,0,1.7114,1.5718
FAM3C_Protein FAM3C,47.205,27.6128,21.7721,16.3787,23.3759,18.9711,21.7493,29.0072,21.7274,25.3111,9.0835,0.0136,0.3145,48.0879,23.0947,32.1011,20.7982,32.4768,69.7366,36.7587,46.2539,24.7971,35.0952,30.3548,50.7446,39.0203,38.0014,46.0204,73.4196,28.025,34.3164,39.3946,14.4784,0.0674,32.546,38.4967,30.6911,36.5107,13.0925,40.2143,20.9325,9.9431,41.8866,37.254,28.5376,20.3554,34.994,17.8303,66.5122,24.481,27.9329,23.0493,30.2922,13
FAM50A_Protein FAM50A,1.601,0.8249,1.1606,1.1727,1.441,0,1.2896,1.9661,1.0805,1.1707,0.5481,0.0099,0.0482,1.7597,0,1.6851,2.0784,1.7361,1.9291,3.5963,1.679,1.1474,2.5736,2.7266,2.8873,2.2304,1.4585,2.4152,2.4362,1.6235,1.6835,1.9803,0.7748,0.8874,2.3545,2.4017,0,2.0717,3.4604,2.3971,2.4781,0,1.2296,2.9025,1.7026,1.4034,2.7951,0,2.3917,2.3748,2.1708,2.7942,1.9405,1.0343
FAM8A1_Protein FAM8A1,0,1.9086,1.7648,1.6165,0,1.5937,0,0,1.5571,0.9378,0.8957,0.3142,0.1076,2.0065,1.5733,2.6855,0,2.8792,1.9569,0,0,0,3.5871,0,1.6557,1.7482,1.8018,2.0915,0,1.5876,1.348,1.3845,1.1363,0.2337,2.6497,6.6058,0,1.9675,2.9109,2.3093,2.1219,0,0,2.3306,1.2785,2.5112,2.0549,0.5418,2.3567,2.1965,2.0296,0,1.8814,1.5626
FAM98A_Protein FAM98A,3.1586,3.352,2.135,2.2897,1.8861,2.4717,2.6233,2.1878,1.6843,2.4209,0.5519,0.1172,0.0314,3.2669,2.8328,2.0836,2.2102,2.9429,3.5193,5.2658,2.6336,2.2465,3.246,3.3522,3.0005,2.0337,2.1518,4.517,2.6068,2.6647,2.2429,2.9343,0.86,0.0868,5.1404,2.6731,3.6899,2.0817,5.9913,2.9207,3.8126,0.9027,2.0271,3.948,3.416,2.2609,3.7471,2.0266,5.1251,5.8645,4.3845,3.8033,3.5453,1.4147
FAM98B_Protein FAM98B,10.0413,8.3639,5.586,5.7277,6.4457,8.8124,6.7834,7.6932,4.908,7.1513,1.6962,0.0168,0.021,9.7283,7.8979,7.2899,6.7519,8.6114,8.9487,12.1636,10.2529,9.4472,7.1326,8.2078,9.2659,7.4953,7.518,11.8782,9.0014,9.1211,7.7804,8.8051,1.5225,0.0569,15.6855,8.1119,10.2497,6.5211,22.5488,10.2419,10.4911,7.0863,7.3837,11.3337,8.9829,9.238,9.993,5.6151,12.3966,19.7528,8.9995,12.7367,10.9649,4.4482
FAP_Prolyl endopeptidase FAP,5.0002,9.2408,3.4316,2.454,6.969,6.4564,3.27,4.7512,3.303,4.9863,2.2039,0.1171,0.5985,3.234,3.2219,3.6882,2.3064,5.8287,1.6568,3.891,3.7536,7.598,3.9115,6.8759,4.0615,3.3112,2.7252,2.9981,3.034,3.8936,2.6412,3.8128,1.5254,0.0434,6.7174,5.7072,3.272,3.188,6.7394,5.2976,7.7379,9.2794,2.275,3.1913,2.7505,11.0504,7.5006,1.5789,3.5645,10.2785,6.135,3.8491,5.5618,2.8265
"FARP1;GN=_FERM, ARHGEF and pleckstrin domain-containing protein 1;Isoform of Q9Y4F1, Isoform 2 of FERM, ARHGEF and pleckstrin domain-containing protein 1",1.2876,2.055,1.6508,1.3921,0.8536,1.6342,1.6778,2.2657,1.4032,1.58,0.4173,0.3856,0.2145,0.7322,1.7152,1.5704,1.3278,0.9023,1.4803,2.3161,0.8969,0.5089,1.3105,1.4165,1.8858,2.1212,1.1363,2.0047,1.8536,1.0091,1.1434,1.4073,0.5055,0.0115,2.8807,1.9798,2.0301,1.2509,2.481,1.7827,1.6174,1.0065,1.2387,1.7737,1.2368,1.7139,2.59,1.2083,2.0216,3.3437,1.6574,1.9407,1.8752,0.6262
